"Duration (ms),Start date,End date,Start station number,Start station,End station number,End station,Bike number,Member Type"
"1070807,3/31/2016 18:05,3/31/2016 18:22,31227,13th St & New York Ave NW,31611,13th & H St NE,W21313,Registered"
"1187574,3/31/2016 18:05,3/31/2016 18:25,31252,21st St & Pennsylvania Ave NW,31600,5th & K St NW,W21981,Registered"
"456361,3/31/2016 18:01,3/31/2016 18:09,31214,17th & Corcoran St NW,31101,14th & V St NW,W20724,Registered"
"746363,3/31/2016 18:01,3/31/2016 18:14,31633,Independence Ave & L'Enfant Plaza SW/DOE,31631,8th & F St NE,W20331,Registered"
"216656,3/31/2016 18:02,3/31/2016 18:05,31602,Park Rd & Holmead Pl NW,31401,14th St & Spring Rd NW,W22248,Registered"
"946729,3/31/2016 17:56,3/31/2016 18:11,31275,New Hampshire Ave & 24th St NW,31268,12th & U St NW,W21730,Registered"
"1383997,3/31/2016 17:50,3/31/2016 18:13,31243,Maryland & Independence Ave SW,31200,Massachusetts Ave & Dupont Circle NW,W01440,Casual"
"1222512,3/31/2016 17:47,3/31/2016 18:07,31247,Jefferson Dr & 14th St SW,31071,Long Bridge Park/Long Bridge Dr & 6th St S,W20055,Registered"
"624871,3/31/2016 17:46,3/31/2016 17:56,31204,20th & E St NW,31240,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,W22236,Registered"
"885627,3/31/2016 17:46,3/31/2016 18:01,31226,34th St & Wisconsin Ave NW,31201,15th & P St NW,W00894,Registered"
"812958,3/31/2016 17:45,3/31/2016 17:58,31200,Massachusetts Ave & Dupont Circle NW,31111,10th & U St NW,W21763,Registered"
"1220091,3/31/2016 17:45,3/31/2016 18:06,31276,15th & L St NW,31517,Union Market/6th St & Neal Pl NE,W21360,Registered"
"1471391,3/31/2016 17:44,3/31/2016 18:08,31204,20th & E St NW,31624,North Capitol St & F St NW,W21514,Registered"
"2769236,3/31/2016 17:43,3/31/2016 18:29,31314,34th & Water St NW,31277,17th & G St NW,W01068,Casual"
"822347,3/31/2016 17:42,3/31/2016 17:56,31048,King St Metro South,31041,Prince St & Union St,W01245,Registered"
"376296,3/31/2016 17:39,3/31/2016 17:45,31253,19th & K St NW,31275,New Hampshire Ave & 24th St NW,W21413,Registered"
"1158586,3/31/2016 17:37,3/31/2016 17:57,31078,Arlington Blvd & S George Mason Dr/NFATC,31016,Clarendon Blvd & Pierce St,W20235,Registered"
"345220,3/31/2016 17:36,3/31/2016 17:42,31009,27th & Crystal Dr,31007,Crystal City Metro / 18th & Bell St,W20625,Registered"
"527615,3/31/2016 17:35,3/31/2016 17:44,31610,Eastern Market / 7th & North Carolina Ave SE,31606,Potomac & Pennsylvania Ave SE,W21956,Registered"
"1197792,3/31/2016 17:35,3/31/2016 17:55,31212,21st & M St NW,31602,Park Rd & Holmead Pl NW,W22095,Registered"
"1370206,3/31/2016 17:34,3/31/2016 17:57,31102,11th & Kenyon St NW,31270,8th & D St NW,W00805,Registered"
"357406,3/31/2016 17:30,3/31/2016 17:36,32010,Philadelphia & Maple Ave,31408,Takoma Metro,W20131,Registered"
"761609,3/31/2016 17:28,3/31/2016 17:41,31212,21st & M St NW,31228,8th & H St NW,W20972,Registered"
"305000,3/31/2016 17:27,3/31/2016 17:32,31623,Columbus Circle / Union Station,31614,11th & H St NE,W21773,Registered"
"761611,3/31/2016 17:20,3/31/2016 17:33,31251,12th & L St NW,31509,New Jersey Ave & R St NW,W01009,Registered"
"879138,3/31/2016 17:20,3/31/2016 17:35,31227,13th St & New York Ave NW,31278,18th & R St NW,W01354,Registered"
"759362,3/31/2016 17:19,3/31/2016 17:31,31217,USDA / 12th & Independence Ave SW,31623,Columbus Circle / Union Station,W20845,Registered"
"318701,3/31/2016 17:19,3/31/2016 17:25,31257,22nd & I St NW / Foggy Bottom,31200,Massachusetts Ave & Dupont Circle NW,W20289,Registered"
"527029,3/31/2016 17:09,3/31/2016 17:18,31003,15th & Crystal Dr,31010,S Glebe & Potomac Ave,W22113,Registered"
"734754,3/31/2016 17:03,3/31/2016 17:16,31235,19th St & Constitution Ave NW,31633,Independence Ave & L'Enfant Plaza SW/DOE,W00355,Registered"
"573094,3/31/2016 16:59,3/31/2016 17:08,31115,Columbia Rd & Georgia Ave NW,31229,New Hampshire Ave & T St NW,W00674,Registered"
"1022507,3/31/2016 16:59,3/31/2016 17:16,31277,17th & G St NW,31219,10th St & Constitution Ave NW,W20012,Casual"
"1634258,3/31/2016 16:55,3/31/2016 17:22,31272,Washington & Independence Ave SW/HHS,31262,11th & F St NW,W00885,Casual"
"72850,3/31/2016 16:50,3/31/2016 16:51,31237,25th St & Pennsylvania Ave NW,31246,M St & Pennsylvania Ave NW,W20031,Registered"
"746240,3/31/2016 16:49,3/31/2016 17:02,31215,Georgetown Harbor / 30th St NW,31236,37th & O St NW / Georgetown University,W01464,Registered"
"817508,3/31/2016 16:44,3/31/2016 16:58,31503,Florida Ave & R St NW,31274,MLK Library/9th & G St NW,W21034,Registered"
"339092,3/31/2016 16:43,3/31/2016 16:48,31021,Clarendon Blvd & N Fillmore St,31024,Virginia Square Metro / N Monroe St & 9th St N,W01151,Registered"
"642494,3/31/2016 16:41,3/31/2016 16:52,31267,17th St & Massachusetts Ave NW,31109,7th & T St NW,W21153,Registered"
"486982,3/31/2016 16:34,3/31/2016 16:42,31014,Lynn & 19th St North,31225,C & O Canal & Wisconsin Ave NW,W20307,Registered"
"1685211,3/31/2016 16:15,3/31/2016 16:43,31077,Iwo Jima Memorial/N Meade & 14th St N,31625,3rd & G St SE,W00574,Registered"
"355028,3/31/2016 16:12,3/31/2016 16:18,31241,Thomas Circle,31213,17th & K St NW,W00466,Registered"
"1860192,3/31/2016 16:10,3/31/2016 16:41,31230,Metro Center / 12th & G St NW,31235,19th St & Constitution Ave NW,W21708,Casual"
"680348,3/31/2016 16:10,3/31/2016 16:21,31259,20th St & Virginia Ave NW,31259,20th St & Virginia Ave NW,W01261,Casual"
"434510,3/31/2016 16:08,3/31/2016 16:15,31246,M St & Pennsylvania Ave NW,31200,Massachusetts Ave & Dupont Circle NW,W00157,Registered"
"762543,3/31/2016 15:59,3/31/2016 16:12,31225,C & O Canal & Wisconsin Ave NW,31225,C & O Canal & Wisconsin Ave NW,W20210,Casual"
"432781,3/31/2016 15:58,3/31/2016 16:05,31122,16th & Irving St NW,31121,Calvert St & Woodley Pl NW,W01420,Registered"
"499849,3/31/2016 15:56,3/31/2016 16:05,31239,17th & Rhode Island Ave NW,31266,11th & M St NW,W20910,Registered"
"599456,3/31/2016 15:55,3/31/2016 16:05,32023,Montgomery College/W Campus Dr & Mannakee St,32047,Rockville Metro West,W01184,Registered"
"374895,3/31/2016 15:53,3/31/2016 15:59,31220,US Dept of State / Virginia Ave & 21st St NW,31219,10th St & Constitution Ave NW,W22157,Registered"
